task_id,project_id,name,status,start_date,end_date,priority
07f97d05-f6ca-4b8b-a4b1-f99175424646,7de31a51-6694-4343-90ba-58e3d2762bdc,Centralized mission-critical initiative,In Progress,2023-08-17,2021-11-01,Low
718d4d05-e8e2-4743-b65f-eea97d824264,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,Compatible attitude-oriented Graphic Interface,In Progress,2021-04-05,2021-02-12,Medium
a21150f9-9fd3-4579-8667-72ce204e178c,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,Reduced neutral structure,Not Started,2022-10-07,2026-06-24,Low
4b7e6b3c-87d2-42a6-98ee-ac2bfe9fecaa,44656d6b-81fb-48b3-89a7-d91fef2ae713,Persevering motivating portal,Not Started,2023-08-29,2021-09-08,Low
da509fed-1d4a-4d81-b3a7-d0e0cb08587d,ff37d19c-2e76-428b-8735-44f9ea83bf00,Streamlined solution-oriented throughput,Not Started,2024-09-08,2023-08-29,High
3a7e8e14-e359-4ee1-b399-1a476e191042,74672cd9-362f-4e5c-93cd-6268610cf373,Open-source global knowledgebase,Not Started,2023-05-23,2027-01-28,High
6d4067f4-5003-4b35-9857-8bafbac7e2b9,ff37d19c-2e76-428b-8735-44f9ea83bf00,Intuitive static extranet,Completed,2023-03-08,2022-08-06,Low
112fa612-7969-4ed2-ac48-bf55afd380c4,d4aac9a3-3ed8-456c-9a09-dfa052828d80,Cross-group attitude-oriented array,Completed,2023-09-03,2021-08-23,High
cfd01cbd-5f65-48ce-bd21-bc11be9d61ee,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,De-engineered next generation approach,Not Started,2024-12-27,2029-07-21,High
1f4a8ca1-ab85-4d59-9463-adc78fca7b6a,f6f7f0cc-29ec-4e49-91bd-b8c0c71d5e60,Open-source heuristic secured line,Completed,2023-08-07,2020-11-15,Medium
4ffca6b1-99b4-49d4-89a2-14aef7e8f8e5,dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,Multi-channeled bi-directional orchestration,Completed,2024-04-25,2023-08-14,High
39681c81-7b70-43b8-a81f-dec3279c658a,7de31a51-6694-4343-90ba-58e3d2762bdc,Customer-focused grid-enabled open architecture,In Progress,2023-02-15,2021-12-14,High
